dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:NO2,ayto:ozone,ayto:odometer,ayto:altitude,ayto:temperature,ayto:CO,ayto:particles,ayto:course,ayto:speed,"uri "
3047,2021-08-27T07:47:39Z,AirQualityObserved,43.449,-3.8677,116.0,120.0,,,22.9,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3047.csv "
3006,2021-08-27T07:47:34Z,AirQualityObserved,43.4618,-3.8126,115.0,3.0,,,24.1,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3006.csv "
3011,2021-08-27T07:47:14Z,AirQualityObserved,43.4602,-3.85356,115.0,5.0,,,27.0,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3011.csv "
3058,2021-08-27T07:47:12Z,AirQualityObserved,43.448,-3.86846,54.0,121.0,,,24.9,0.2,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3058.csv "
3114,2021-08-27T07:47:00Z,AirQualityObserved,43.4678,-3.83473,110.0,118.0,,,33.4,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3114.csv "
3078,2021-08-27T07:46:47Z,AirQualityObserved,43.4655,-3.79677,115.0,120.0,,,23.9,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3078.csv "
3005,2021-08-27T07:46:41Z,AirQualityObserved,43.4629,-3.79301,114.0,11.0,,,23.2,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3005.csv "
3001,2021-08-27T07:46:33Z,AirQualityObserved,43.4482,-3.86826,84.0,3.0,,,24.2,0.3,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3001.csv "
3018,2021-08-27T07:46:29Z,AirQualityObserved,43.461,-3.84883,115.0,34.0,,,26.8,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3018.csv "
3015,2021-08-27T07:46:27Z,AirQualityObserved,43.4393,-3.84471,110.0,120.0,,,23.6,0.1,,,,"http://datos.santander.es/api/datos/sensores_smart_mobile/3015.csv "